SEEDCODE,LOCAL AUTHORITY,SCHOOL TYPE,SCHOOL,TEACHERS,PUPIL ROLL,ASN PUPILS,ATTENDANCE RATE,YEAR
5930324,DUMFRIES & GALLOWAY,PRIMARY,NEW ABBEY SCHOOL,2.5,38,,,1213
5930421,DUMFRIES & GALLOWAY,PRIMARY,SHAWHEAD SCHOOL,2.0,26,,,1213
5935121,DUMFRIES & GALLOWAY,PRIMARY,AE SCHOOL,2.49,17,,,1213
5935229,DUMFRIES & GALLOWAY,PRIMARY,AMISFIELD SCHOOL,2.6,42,,,1213
5935423,DUMFRIES & GALLOWAY,PRIMARY,BROWNHALL SCHOOL,3.6,64,,,1213
5935628,DUMFRIES & GALLOWAY,PRIMARY,CLOSEBURN SCHOOL,5.4,78,,,1213
5935725,DUMFRIES & GALLOWAY,PRIMARY,COLLIN SCHOOL,3.5,47,,,1213
5935822,DUMFRIES & GALLOWAY,PRIMARY,LAURIEKNOWE SCHOOL,14.6,323,,,1213
5936020,DUMFRIES & GALLOWAY,PRIMARY,LINCLUDEN SCHOOL,13.85,255,,,1213
5936128,DUMFRIES & GALLOWAY,PRIMARY,LOCHSIDE SCHOOL,11.8,204,,,1213
5936225,DUMFRIES & GALLOWAY,PRIMARY,LOREBURN SCHOOL,9.82,179,,,1213
5936322,DUMFRIES & GALLOWAY,PRIMARY,NOBLEHILL SCHOOL,14.2,294,,,1213
5936527,DUMFRIES & GALLOWAY,PRIMARY,ST NINIAN'S SCHOOL,10.0,179,,,1213
5936624,DUMFRIES & GALLOWAY,PRIMARY,ST MICHAEL'S SCHOOL,9.0,181,,,1213
5936721,DUMFRIES & GALLOWAY,PRIMARY,ST TERESA'S RC SCHOOL,2.8,46,,,1213
5936829,DUMFRIES & GALLOWAY,PRIMARY,TROQUEER SCHOOL,11.8,247,,,1213
5936926,DUMFRIES & GALLOWAY,PRIMARY,DUNCOW SCHOOL,2.4,26,,,1213
5937027,DUMFRIES & GALLOWAY,PRIMARY,DUNSCORE SCHOOL,3.72,68,,,1213
5937329,DUMFRIES & GALLOWAY,PRIMARY,GEORGETOWN SCHOOL,15.83,327,,,1213
5937523,DUMFRIES & GALLOWAY,PRIMARY,HOLYWOOD SCHOOL,2.4,37,,,1213
5937620,DUMFRIES & GALLOWAY,PRIMARY,HUTTON SCHOOL,1.5,18,,,1213
5937825,DUMFRIES & GALLOWAY,PRIMARY,KELLOHOLM SCHOOL,10.0,172,,,1213
5937922,DUMFRIES & GALLOWAY,PRIMARY,LOCHARBRIGGS SCHOOL,8.8,149,,,1213
5938023,DUMFRIES & GALLOWAY,PRIMARY,MONIAIVE SCHOOL,2.6,49,,,1213
5938120,DUMFRIES & GALLOWAY,PRIMARY,MOUSWALD SCHOOL,1.4,2,,,1213
5938228,DUMFRIES & GALLOWAY,PRIMARY,NETHERMILL SCHOOL,2.37,30,,,1213
5938325,DUMFRIES & GALLOWAY,PRIMARY,PENPONT SCHOOL,3.83,71,,,1213
5940427,DUMFRIES & GALLOWAY,PRIMARY,SANQUHAR PRIMARY SCHOOL,9.0,174,,,1213
5940621,DUMFRIES & GALLOWAY,PRIMARY,CAERLAVEROCK SCHOOL,1.5,18,,,1213
5940923,DUMFRIES & GALLOWAY,PRIMARY,CALSIDE SCHOOL,7.0,142,,,1213
5941121,DUMFRIES & GALLOWAY,PRIMARY,ST ANDREW'S RC SCHOOL,9.7,174,,,1213
5941229,DUMFRIES & GALLOWAY,PRIMARY,WALLACE HALL PRIMARY SCHOOL,8.6,157,,,1213
5941326,DUMFRIES & GALLOWAY,PRIMARY,CARGENBRIDGE SCHOOL,6.0,109,,,1213
5945127,DUMFRIES & GALLOWAY,PRIMARY,HECKLEGIRTH SCHOOL,9.7,177,,,1213
5945224,DUMFRIES & GALLOWAY,PRIMARY,NEWINGTON SCHOOL,18.69,383,,,1213
5945321,DUMFRIES & GALLOWAY,PRIMARY,ST COLUMBA'S RC SCHOOL,2.4,50,,,1213
5945429,DUMFRIES & GALLOWAY,PRIMARY,APPLEGARTH SCHOOL,2.53,30,,,1213
5945526,DUMFRIES & GALLOWAY,PRIMARY,BEATTOCK SCHOOL,2.6,48,,,1213
5945720,DUMFRIES & GALLOWAY,PRIMARY,BRYDEKIRK SCHOOL,2.4,33,,,1213
5945828,DUMFRIES & GALLOWAY,PRIMARY,CANONBIE SCHOOL,3.68,73,,,1213
5946026,DUMFRIES & GALLOWAY,PRIMARY,CUMMERTREES SCHOOL,2.7,48,,,1213
5946123,DUMFRIES & GALLOWAY,PRIMARY,CARRUTHERSTOWN SCHOOL,2.7,24,,,1213
5946220,DUMFRIES & GALLOWAY,PRIMARY,EAGLESFIELD SCHOOL,3.4,60,,,1213
5946328,DUMFRIES & GALLOWAY,PRIMARY,EASTRIGGS SCHOOL,7.0,146,,,1213
5946425,DUMFRIES & GALLOWAY,PRIMARY,HODDOM SCHOOL,4.64,76,,,1213
5947022,DUMFRIES & GALLOWAY,PRIMARY,GRETNA SCHOOL,13.2,243,,,1213
5947227,DUMFRIES & GALLOWAY,PRIMARY,SPRINGFIELD PRIMARY SCHOOL,1.2,14,,,1213
5947421,DUMFRIES & GALLOWAY,PRIMARY,HIGHTAE SCHOOL,1.43,10,,,1213
5947529,DUMFRIES & GALLOWAY,PRIMARY,HOTTSBRIDGE SCHOOL,2.5,27,,,1213
5947626,DUMFRIES & GALLOWAY,PRIMARY,JOHNSTONEBRIDGE SCHOOL,2.5,27,,,1213
5947723,DUMFRIES & GALLOWAY,PRIMARY,KIRKPATRICK FLEMING SCHOOL,3.6,60,,,1213
5947820,DUMFRIES & GALLOWAY,PRIMARY,LOCHMABEN SCHOOL,13.3,243,,,1213
5947928,DUMFRIES & GALLOWAY,PRIMARY,ST MUNGO SCHOOL,2.8,39,,,1213
5948029,DUMFRIES & GALLOWAY,PRIMARY,TUNDERGARTH SCHOOL,1.2,15,,,1213
5948738,DUMFRIES & GALLOWAY,PRIMARY,MOFFAT ACADEMY,10.7,246,,,1213
5948827,DUMFRIES & GALLOWAY,PRIMARY,LOCKERBIE PRIMARY SCHOOL,16.14,311,,,1213
5948924,DUMFRIES & GALLOWAY,PRIMARY,ELMVALE SCHOOL,5.99,116,,,1213
5949025,DUMFRIES & GALLOWAY,PRIMARY,LANGHOLM PRIMARY SCHOOL,8.8,174,,,1213
1000870,DUNDEE CITY,PRIMARY,CAMPERDOWN PRIMARY SCHOOL,16.0,226,,,1213
5320020,DUNDEE CITY,PRIMARY,CLAYPOTTS CASTLE PRIMARY SCHOOL,20.4,373,,,1213
5320224,DUNDEE CITY,PRIMARY,ROWANTREE PRIMARY SCHOOL,20.0,271,,,1213
5320526,DUNDEE CITY,PRIMARY,CRAIGOWL PRIMARY SCHOOL,31.0,486,,,1213
5321123,DUNDEE CITY,PRIMARY,ST ANDREW'S RC PRIMARY SCHOOL,20.0,341,,,1213
5321220,DUNDEE CITY,PRIMARY,BALLUMBIE PRIMARY SCHOOL,23.1,331,,,1213
5323320,DUNDEE CITY,PRIMARY,ANCRUM ROAD PRIMARY SCHOOL,18.9,366,,,1213
5323428,DUNDEE CITY,PRIMARY,ARDLER PRIMARY SCHOOL,11.0,144,,,1213
5323622,DUNDEE CITY,PRIMARY,BARNHILL PRIMARY SCHOOL,22.8,454,,,1213
5323827,DUNDEE CITY,PRIMARY,BLACKNESS PRIMARY SCHOOL,17.0,319,,,1213
5324327,DUNDEE CITY,PRIMARY,CLEPINGTON PRIMARY SCHOOL,27.1,477,,,1213
5324424,DUNDEE CITY,PRIMARY,CRAIGIEBARNS PRIMARY SCHOOL,21.69,280,,,1213
5324521,DUNDEE CITY,PRIMARY,DENS ROAD PRIMARY SCHOOL,16.2,240,,,1213
5324726,DUNDEE CITY,PRIMARY,DOWNFIELD PRIMARY SCHOOL,18.9,379,,,1213
5324920,DUNDEE CITY,PRIMARY,EASTERN PRIMARY SCHOOL,22.4,401,,,1213
5325021,DUNDEE CITY,PRIMARY,FINTRY PRIMARY SCHOOL,24.9,349,,,1213
5325129,DUNDEE CITY,PRIMARY,FORTHILL PRIMARY SCHOOL,29.7,599,,,1213
5325323,DUNDEE CITY,PRIMARY,GLEBELANDS PRIMARY SCHOOL,20.1,317,,,1213
5325420,DUNDEE CITY,PRIMARY,GOWRIEHILL PRIMARY SCHOOL,11.2,123,,,1213
5325722,DUNDEE CITY,PRIMARY,HILLSIDE PRIMARY SCHOOL,19.34,298,,,1213
5326125,DUNDEE CITY,PRIMARY,LONGHAUGH PRIMARY SCHOOL,21.0,282,,,1213
5326524,DUNDEE CITY,PRIMARY,MILL OF MAINS PRIMARY SCHOOL,15.6,253,,,1213
5326826,DUNDEE CITY,PRIMARY,OUR LADY'S RC PRIMARY SCHOOL,12.0,131,,,1213
5326923,DUNDEE CITY,PRIMARY,VICTORIA PARK PRIMARY SCHOOL,10.5,159,,,1213
5327229,DUNDEE CITY,PRIMARY,ROSEBANK PRIMARY SCHOOL,10.0,143,,,1213
5327423,DUNDEE CITY,PRIMARY,ST CLEMENT'S RC PRIMARY SCHOOL,11.0,181,,,1213
5327628,DUNDEE CITY,PRIMARY,ST FERGUS' RC PRIMARY SCHOOL,13.5,165,,,1213
5327725,DUNDEE CITY,PRIMARY,ST JOSEPH'S RC PRIMARY SCHOOL,16.4,283,,,1213
5328225,DUNDEE CITY,PRIMARY,ST MARY'S RC PRIMARY SCHOOL,15.5,242,,,1213
5328527,DUNDEE CITY,PRIMARY,ST NINIAN'S PRIMARY SCHOOL,10.8,148,,,1213
5328624,DUNDEE CITY,PRIMARY,ST PETER & PAUL RC SCHOOL,19.09,325,,,1213
5328721,DUNDEE CITY,PRIMARY,ST PIUS X RC PRIMARY SCHOOL,12.0,164,,,1213
5328829,DUNDEE CITY,PRIMARY,ST VINCENT'S RC PRIMARY SCHOOL,16.0,191,,,1213
5329124,DUNDEE CITY,PRIMARY,ST LUKE'S & ST MATTHEW'S RC PRIMARY SCHOOL,16.0,270,,,1213
5329221,DUNDEE CITY,PRIMARY,SIDLAW VIEW PRIMARY SCHOOL,12.0,175,,,1213
8220026,EAST AYRSHIRE,PRIMARY,ST ANDREW'S PRIMARY SCHOOL,23.5,430,,,1213
8220425,EAST AYRSHIRE,PRIMARY,CROSSHOUSE PRIMARY SCHOOL,10.1,186,,,1213
8220522,EAST AYRSHIRE,PRIMARY,DARVEL PRIMARY SCHOOL,16.5,309,,,1213
8220727,EAST AYRSHIRE,PRIMARY,DUNLOP PRIMARY SCHOOL,9.0,162,,,1213
8220824,EAST AYRSHIRE,PRIMARY,FENWICK PRIMARY SCHOOL,9.0,160,,,1213
8220921,EAST AYRSHIRE,PRIMARY,GALSTON PRIMARY SCHOOL,16.2,299,,,1213
8221022,EAST AYRSHIRE,PRIMARY,ST SOPHIA'S PRIMARY SCHOOL,5.1,61,,,1213
8221421,EAST AYRSHIRE,PRIMARY,HURLFORD PRIMARY SCHOOL,12.8,233,,,1213
8221723,EAST AYRSHIRE,PRIMARY,ANNANHILL PRIMARY SCHOOL,24.0,461,,,1213
8221820,EAST AYRSHIRE,PRIMARY,BELLFIELD PRIMARY SCHOOL,13.9,226,,,1213
8222029,EAST AYRSHIRE,PRIMARY,HILLHEAD PRIMARY SCHOOL,14.8,250,,,1213
8222126,EAST AYRSHIRE,PRIMARY,KIRKSTYLE PRIMARY SCHOOL,14.5,230,,,1213
8222223,EAST AYRSHIRE,PRIMARY,LOANHEAD PRIMARY SCHOOL,13.8,244,,,1213
8222320,EAST AYRSHIRE,PRIMARY,MOUNT CARMEL PRIMARY SCHOOL,13.7,211,,,1213
8222428,EAST AYRSHIRE,PRIMARY,NEW FARM PRIMARY SCHOOL,13.7,232,,,1213
8222525,EAST AYRSHIRE,PRIMARY,ONTHANK PRIMARY SCHOOL,30.5,582,,,1213
8222924,EAST AYRSHIRE,PRIMARY,SHORTLEES PRIMARY SCHOOL,16.7,289,,,1213
8223025,EAST AYRSHIRE,PRIMARY,SILVERWOOD PRIMARY SCHOOL,13.0,233,,,1213
8223122,EAST AYRSHIRE,PRIMARY,KILMAURS PRIMARY SCHOOL,12.4,234,,,1213
8223424,EAST AYRSHIRE,PRIMARY,NEWMILNS PRIMARY SCHOOL,8.7,129,,,1213
8223629,EAST AYRSHIRE,PRIMARY,LAINSHAW PRIMARY SCHOOL,13.9,241,,,1213
8223726,EAST AYRSHIRE,PRIMARY,NETHER ROBERTLAND PRIMARY SCHOOL,18.5,358,,,1213
8225427,EAST AYRSHIRE,PRIMARY,GARGIESTON PRIMARY SCHOOL,14.8,278,,,1213
8225524,EAST AYRSHIRE,PRIMARY,SGOIL NA COILLE NUAIDH,2.9,31,,,1213
8240620,EAST AYRSHIRE,PRIMARY,AUCHINLECK PRIMARY SCHOOL,15.2,214,,,1213
8240728,EAST AYRSHIRE,PRIMARY,ST PATRICK'S PRIMARY SCHOOL AUCHINLECK,7.5,108,,,1213
8240825,EAST AYRSHIRE,PRIMARY,CATRINE PRIMARY SCHOOL,9.5,129,,,1213
8240922,EAST AYRSHIRE,PRIMARY,GREENMILL PRIMARY SCHOOL,16.2,286,,,1213
8241023,EAST AYRSHIRE,PRIMARY,LOGAN PRIMARY SCHOOL,5.9,67,,,1213
8241120,EAST AYRSHIRE,PRIMARY,NETHERTHIRD PRIMARY SCHOOL,11.5,195,,,1213
8241422,EAST AYRSHIRE,PRIMARY,BELLSBANK PRIMARY SCHOOL,8.5,93,,,1213
8241627,EAST AYRSHIRE,PRIMARY,DALRYMPLE PRIMARY SCHOOL,8.9,143,,,1213
8241724,EAST AYRSHIRE,PRIMARY,DRONGAN PRIMARY SCHOOL,15.7,291,,,1213
8241821,EAST AYRSHIRE,PRIMARY,LITTLEMILL PRIMARY SCHOOL,3.7,30,,,1213
8241929,EAST AYRSHIRE,PRIMARY,MAUCHLINE PRIMARY SCHOOL,15.2,288,,,1213
8242321,EAST AYRSHIRE,PRIMARY,NEW CUMNOCK PRIMARY SCHOOL,12.2,198,,,1213
8242623,EAST AYRSHIRE,PRIMARY,OCHILTREE PRIMARY SCHOOL,8.2,116,,,1213
8242720,EAST AYRSHIRE,PRIMARY,PATNA PRIMARY SCHOOL,10.1,166,,,1213
8242925,EAST AYRSHIRE,PRIMARY,SORN PRIMARY SCHOOL,4.4,52,,,1213
8243026,EAST AYRSHIRE,PRIMARY,ST XAVIER'S PRIMARY SCHOOL,3.6,17,,,1213
8243921,EAST AYRSHIRE,PRIMARY,MUIRKIRK PRIMARY SCHOOL,5.3,95,,,1213
8244022,EAST AYRSHIRE,PRIMARY,BARSHARE PRIMARY SCHOOL,11.1,175,,,1213
8244227,EAST AYRSHIRE,PRIMARY,DALMELLINGTON PRIMARY SCHOOL,8.2,118,,,1213
8324026,EAST DUNBARTONSHIRE,PRIMARY,BEARSDEN PRIMARY SCHOOL,19.9,432,,,1213
8324123,EAST DUNBARTONSHIRE,PRIMARY,BALJAFFRAY PRIMARY SCHOOL,18.5,317,,,1213
8324220,EAST DUNBARTONSHIRE,PRIMARY,CASTLEHILL PRIMARY SCHOOL,12.8,102,,,1213
8324328,EAST DUNBARTONSHIRE,PRIMARY,COLQUHOUN PARK PRIMARY SCHOOL,13.3,237,,,1213
8324425,EAST DUNBARTONSHIRE,PRIMARY,KILLERMONT PRIMARY SCHOOL,16.2,312,,,1213
8324522,EAST DUNBARTONSHIRE,PRIMARY,WESTERTON PRIMARY SCHOOL,15.4,278,,,1213
8324727,EAST DUNBARTONSHIRE,PRIMARY,MOSSHEAD PRIMARY SCHOOL,16.4,353,,,1213
8324824,EAST DUNBARTONSHIRE,PRIMARY,ST ANDREW'S PRIMARY SCHOOL,15.0,288,,,1213
8325022,EAST DUNBARTONSHIRE,PRIMARY,MILNGAVIE PRIMARY SCHOOL,17.2,331,,,1213
8325227,EAST DUNBARTONSHIRE,PRIMARY,CLOBER PRIMARY SCHOOL,15.3,237,,,1213
8325324,EAST DUNBARTONSHIRE,PRIMARY,ST JOSEPH'S PRIMARY SCHOOL,10.0,138,,,1213
8326029,EAST DUNBARTONSHIRE,PRIMARY,CRAIGDHU PRIMARY SCHOOL,13.5,241,,,1213
8336229,EAST DUNBARTONSHIRE,PRIMARY,GARTCONNER PRIMARY SCHOOL,9.4,120,,,1213
8336326,EAST DUNBARTONSHIRE,PRIMARY,LENZIE PRIMARY SCHOOL,12.8,216,,,1213
8336423,EAST DUNBARTONSHIRE,PRIMARY,LENZIE MOSS PRIMARY SCHOOL,16.8,328,,,1213
8336520,EAST DUNBARTONSHIRE,PRIMARY,HARESTANES PRIMARY SCHOOL,13.8,160,,,1213
8336628,EAST DUNBARTONSHIRE,PRIMARY,HILLHEAD PRIMARY SCHOOL,13.7,169,,,1213
8336725,EAST DUNBARTONSHIRE,PRIMARY,HOLY FAMILY PRIMARY SCHOOL,17.2,329,,,1213
8336822,EAST DUNBARTONSHIRE,PRIMARY,LAIRDSLAND PRIMARY SCHOOL,12.6,265,,,1213
8337020,EAST DUNBARTONSHIRE,PRIMARY,OXGANG PRIMARY SCHOOL,11.8,178,,,1213
8337128,EAST DUNBARTONSHIRE,PRIMARY,ST FLANNAN'S PRIMARY SCHOOL,13.4,190,,,1213
8337322,EAST DUNBARTONSHIRE,PRIMARY,ST AGATHA'S PRIMARY SCHOOL,6.7,89,,,1213
8338426,EAST DUNBARTONSHIRE,PRIMARY,TWECHAR PRIMARY SCHOOL,7.0,76,,,1213
8340021,EAST DUNBARTONSHIRE,PRIMARY,AUCHINAIRN PRIMARY SCHOOL,14.0,174,,,1213
8340226,EAST DUNBARTONSHIRE,PRIMARY,BALMUILDY PRIMARY SCHOOL,14.5,270,,,1213
8340323,EAST DUNBARTONSHIRE,PRIMARY,MEADOWBURN PRIMARY SCHOOL,12.8,215,,,1213
8340420,EAST DUNBARTONSHIRE,PRIMARY,ST HELEN'S PRIMARY SCHOOL BISHOPBRIGGS,19.4,377,,,1213
8340528,EAST DUNBARTONSHIRE,PRIMARY,ST MATTHEW'S PRIMARY SCHOOL BISHOPBRIGGS,17.4,349,,,1213
8340625,EAST DUNBARTONSHIRE,PRIMARY,WESTER CLEDDENS PRIMARY SCHOOL,10.2,170,,,1213
8340722,EAST DUNBARTONSHIRE,PRIMARY,WOODHILL PRIMARY SCHOOL,18.54,372,,,1213
8341826,EAST DUNBARTONSHIRE,PRIMARY,MEADOWBURN GAELIC UNIT,4.0,44,,,1213
8350027,EAST DUNBARTONSHIRE,PRIMARY,BALDERNOCK PRIMARY SCHOOL,4.7,44,,,1213
8350221,EAST DUNBARTONSHIRE,PRIMARY,CRAIGHEAD PRIMARY SCHOOL,13.6,232,,,1213
8350329,EAST DUNBARTONSHIRE,PRIMARY,LENNOXTOWN PRIMARY SCHOOL,12.0,133,,,1213
8350426,EAST DUNBARTONSHIRE,PRIMARY,ST MACHAN'S PRIMARY SCHOOL,12.2,185,,,1213
8350523,EAST DUNBARTONSHIRE,PRIMARY,TORRANCE PRIMARY SCHOOL,11.9,187,,,1213
8350922,EAST DUNBARTONSHIRE,PRIMARY,MILLERSNEUK PRIMARY SCHOOL,14.7,286,,,1213
5550025,EAST LOTHIAN,PRIMARY,MUSSELBURGH BURGH PRIMARY SCHOOL,16.92,312,,,1213
5550122,EAST LOTHIAN,PRIMARY,CAMPIE PRIMARY SCHOOL,18.56,385,,,1213
5550220,EAST LOTHIAN,PRIMARY,SANDERSON'S WYND PRIMARY SCHOOL,23.97,387,,,1213
5550327,EAST LOTHIAN,PRIMARY,WINDYGOUL PRIMARY SCHOOL,26.3,548,,,1213
5550424,EAST LOTHIAN,PRIMARY,LORETTO RC PRIMARY SCHOOL,10.31,190,,,1213
5550521,EAST LOTHIAN,PRIMARY,PINKIE ST PETER'S PRIMARY SCHOOL,15.75,301,,,1213
5550629,EAST LOTHIAN,PRIMARY,WALLYFORD PRIMARY SCHOOL,14.17,254,,,1213
5550726,EAST LOTHIAN,PRIMARY,WHITECRAIG PRIMARY SCHOOL,5.35,89,,,1213
5552621,EAST LOTHIAN,PRIMARY,ABERLADY PRIMARY SCHOOL,7.9,137,,,1213
5552729,EAST LOTHIAN,PRIMARY,ATHELSTANEFORD PRIMARY SCHOOL,3.3,48,,,1213
5552826,EAST LOTHIAN,PRIMARY,COCKENZIE PRIMARY SCHOOL,19.34,417,,,1213
5552923,EAST LOTHIAN,PRIMARY,DIRLETON PRIMARY SCHOOL,4.59,78,,,1213
5553024,EAST LOTHIAN,PRIMARY,DUNBAR PRIMARY SCHOOL,43.54,851,,,1213
5553121,EAST LOTHIAN,PRIMARY,EAST LINTON PRIMARY SCHOOL,9.22,161,,,1213
5553229,EAST LOTHIAN,PRIMARY,ELPHINSTONE PRIMARY SCHOOL,4.28,55,,,1213
5553326,EAST LOTHIAN,PRIMARY,GULLANE PRIMARY SCHOOL,10.55,209,,,1213
5553423,EAST LOTHIAN,PRIMARY,HADDINGTON INFANT SCHOOL,12.4,255,,,1213
5553520,EAST LOTHIAN,PRIMARY,KING'S MEADOW PRIMARY SCHOOL,17.09,368,,,1213
5553628,EAST LOTHIAN,PRIMARY,ST MARY'S RC PRIMARY SCHOOL,6.97,119,,,1213
5553725,EAST LOTHIAN,PRIMARY,INNERWICK PRIMARY SCHOOL,3.84,61,,,1213
5553822,EAST LOTHIAN,PRIMARY,HUMBIE PRIMARY SCHOOL,1.66,19,,,1213
5554020,EAST LOTHIAN,PRIMARY,LONGNIDDRY PRIMARY SCHOOL,10.47,206,,,1213
5554128,EAST LOTHIAN,PRIMARY,MACMERRY PRIMARY SCHOOL,6.89,113,,,1213
5554225,EAST LOTHIAN,PRIMARY,LAW PRIMARY SCHOOL,26.68,543,,,1213
5554322,EAST LOTHIAN,PRIMARY,ORMISTON PRIMARY SCHOOL,8.9,185,,,1213
5554527,EAST LOTHIAN,PRIMARY,PENCAITLAND PRIMARY SCHOOL,10.4,185,,,1213
5554624,EAST LOTHIAN,PRIMARY,PRESTONPANS INFANT SCHOOL,14.89,259,,,1213
5554721,EAST LOTHIAN,PRIMARY,PRESTONPANS PRIMARY SCHOOL,13.94,261,,,1213
5554829,EAST LOTHIAN,PRIMARY,ST GABRIEL'S RC PRIMARY SCHOOL,10.76,185,,,1213
5554926,EAST LOTHIAN,PRIMARY,SALTOUN PRIMARY SCHOOL,3.59,58,,,1213
5555027,EAST LOTHIAN,PRIMARY,STENTON PRIMARY SCHOOL,2.0,38,,,1213
5555329,EAST LOTHIAN,PRIMARY,ST MARTIN'S RC PRIMARY SCHOOL,10.56,183,,,1213
5555426,EAST LOTHIAN,PRIMARY,WEST BARNS PRIMARY SCHOOL,4.26,84,,,1213
5555620,EAST LOTHIAN,PRIMARY,YESTER PRIMARY SCHOOL,8.6,145,,,1213
5555728,EAST LOTHIAN,PRIMARY,STONEYHILL PRIMARY SCHOOL,10.04,224,,,1213
8454922,EAST RENFREWSHIRE,PRIMARY,CALDERWOOD LODGE,12.4,144,,,1213
8600228,EAST RENFREWSHIRE,PRIMARY,BUSBY PRIMARY SCHOOL,16.0,262,,,1213
8600325,EAST RENFREWSHIRE,PRIMARY,OUR LADY OF THE MISSIONS,39.4,812,,,1213
8600422,EAST RENFREWSHIRE,PRIMARY,CAROLSIDE PRIMARY SCHOOL,43.0,795,,,1213
8600627,EAST RENFREWSHIRE,PRIMARY,ST JOSEPH'S PRIMARY SCHOOL CLARKSTON,20.5,363,,,1213
8600724,EAST RENFREWSHIRE,PRIMARY,EAGLESHAM PRIMARY SCHOOL,22.49,355,,,1213
8600821,EAST RENFREWSHIRE,PRIMARY,GIFFNOCK PRIMARY SCHOOL,21.9,345,,,1213
8600929,EAST RENFREWSHIRE,PRIMARY,NETHERLEE PRIMARY SCHOOL,34.6,668,,,1213
8601127,EAST RENFREWSHIRE,PRIMARY,CROOKFUR PRIMARY SCHOOL,19.9,263,,,1213
8601224,EAST RENFREWSHIRE,PRIMARY,KIRKHILL PRIMARY SCHOOL,31.0,624,,,1213
8601321,EAST RENFREWSHIRE,PRIMARY,MEARNS PRIMARY SCHOOL,41.7,800,,,1213
8601429,EAST RENFREWSHIRE,PRIMARY,ST CADOC'S PRIMARY SCHOOL,30.2,629,,,1213
8601526,EAST RENFREWSHIRE,PRIMARY,THORNLIEBANK PRIMARY SCHOOL,14.5,146,,,1213
8601623,EAST RENFREWSHIRE,PRIMARY,ROBSLEE PRIMARY SCHOOL,6.1,50,,,1213
8601925,EAST RENFREWSHIRE,PRIMARY,BRAIDBAR PRIMARY SCHOOL,18.3,237,,,1213
8620725,EAST RENFREWSHIRE,PRIMARY,CARLIBAR PRIMARY SCHOOL,29.8,208,,,1213
8620822,EAST RENFREWSHIRE,PRIMARY,CROSS ARTHURLIE PRIMARY SCHOOL,21.42,334,,,1213
8621020,EAST RENFREWSHIRE,PRIMARY,ST JOHN'S PRIMARY SCHOOL BARRHEAD,16.0,186,,,1213
8621225,EAST RENFREWSHIRE,PRIMARY,ST MARK'S PRIMARY SCHOOL BARRHEAD,20.9,329,,,1213
8621322,EAST RENFREWSHIRE,PRIMARY,HILLVIEW PRIMARY SCHOOL,19.0,242,,,1213
8624224,EAST RENFREWSHIRE,PRIMARY,ST THOMAS' PRIMARY SCHOOL NEILSTON,12.4,154,,,1213
8627525,EAST RENFREWSHIRE,PRIMARY,UPLAWMOOR PRIMARY SCHOOL,7.6,57,,,1213
8631824,EAST RENFREWSHIRE,PRIMARY,NEILSTON PRIMARY SCHOOL,17.0,278,,,1213
1002724,EDINBURGH CITY,PRIMARY,BUNSGOIL TAOBH NA PÀIRCE PARKSIDE PRIMARY,10.07,213,,,1213
5502527,EDINBURGH CITY,PRIMARY,CRAIGROYSTON PRIMARY SCHOOL,13.95,195,,,1213
5518024,EDINBURGH CITY,PRIMARY,QUEENSFERRY PRIMARY SCHOOL,18.21,395,,,1213
5518121,EDINBURGH CITY,PRIMARY,ST MARGARET'S ROMAN CATHOLIC PRIMARY SCHOOL,6.48,105,,,1213
5518229,EDINBURGH CITY,PRIMARY,ECHLINE PRIMARY SCHOOL,13.51,248,,,1213
5520029,EDINBURGH CITY,PRIMARY,CASTLEVIEW PRIMARY SCHOOL,15.64,224,,,1213
5520126,EDINBURGH CITY,PRIMARY,FORTHVIEW PRIMARY SCHOOL,24.57,365,,,1213
5520223,EDINBURGH CITY,PRIMARY,CRAIGOUR PARK PRIMARY SCHOOL,21.5,388,,,1213
5520320,EDINBURGH CITY,PRIMARY,CURRIE PRIMARY SCHOOL,19.8,373,,,1213
5520428,EDINBURGH CITY,PRIMARY,CANAL VIEW PRIMARY SCHOOL,19.1,270,,,1213
5520924,EDINBURGH CITY,PRIMARY,ABBEYHILL PRIMARY SCHOOL,9.32,163,,,1213
5521025,EDINBURGH CITY,PRIMARY,BALGREEN PRIMARY SCHOOL,18.38,354,,,1213
5521122,EDINBURGH CITY,PRIMARY,BLACKHALL PRIMARY SCHOOL,19.21,448,,,1213
5521424,EDINBURGH CITY,PRIMARY,BROOMHOUSE PRIMARY SCHOOL,9.78,168,,,1213
5521521,EDINBURGH CITY,PRIMARY,BROUGHTON PRIMARY SCHOOL,21.78,384,,,1213
5521629,EDINBURGH CITY,PRIMARY,BRUNSTANE PRIMARY SCHOOL,16.66,186,,,1213
5521726,EDINBURGH CITY,PRIMARY,BRUNTSFIELD PRIMARY SCHOOL,22.65,522,,,1213
5521920,EDINBURGH CITY,PRIMARY,CARRICK KNOWE PRIMARY SCHOOL,18.95,394,,,1213
5522021,EDINBURGH CITY,PRIMARY,CLERMISTON PRIMARY SCHOOL,18.76,315,,,1213
5522129,EDINBURGH CITY,PRIMARY,COLINTON PRIMARY SCHOOL,12.1,152,,,1213
5522323,EDINBURGH CITY,PRIMARY,CORSTORPHINE PRIMARY SCHOOL,24.18,474,,,1213
